feature,importance,importance_std
dias_desde_ultimo_alerta,0.2334422709813396,0.003379854004466981
n_alertas_24h,0.036746576157553244,0.004413950714472134
Tag_freq,0.02108733701192785,0.006322276694522352
n_classes_distintas_4h,0.010293964746932338,0.0024898231651804886
freq_classe_atividade_24h,0.008881841988992148,0.0008336530233870675
Frota_LeTourneau L 1850,0.008521465819559093,0.0019656167036375786
n_alertas_4h,0.00337256092905297,0.0028114222554301025
freq_classe_atividade_8h,0.0019053139897880118,0.0014476241167399168
Classe_target_enc,0.001470859000349915,0.0003672034360744227
n_classes_distintas_8h,0.001311483777557206,0.0005739493407958423
ratio_alertas_4h_24h,0.0010178821848280488,0.00034755392241420807
n_ciclos_8h,0.0006574543850631498,0.0008232902509952872
duracao_media_ciclo_24h,0.000599737239928122,0.0002021106182415162
duracao_ciclo_min,0.0005622102249232727,1.9808468370126843e-05
duracao_std_ciclo_24h,0.00045021791486700896,3.09925466120457e-05
duracao_std_ciclo_4h,0.00044863068974330494,0.000744701301057804
duracao_std_ciclo_8h,0.0004004669331092077,9.06327815231427e-05
hora_do_dia,0.0003562621627161329,0.00032403743831648294
duracao_media_ciclo_8h,0.00031615637480632747,0.0003688491498390844
n_classes_distintas_24h,0.00028170945384248247,2.228339187693163e-05
delta_alertas_por_hora_4h_24h,0.00011548025842589293,6.0217738605883685e-05
Frota_793-D 2S,8.043145756366406e-05,0.00019055153359942955
delta_duracao_ciclo_4h_24h,7.512023124519225e-05,6.529478344289078e-05
delta_classes_distintas_4h_24h,3.6510716017512657e-05,2.5176614930829114e-05
duracao_media_ciclo_4h,8.104662908126059e-06,2.688091049368528e-07
Operador_freq,0.0,0.0
delta_freq_classe_4h_24h,0.0,0.0
alertas_por_hora_8h,0.0,0.0
nivel_maximo_evento_recente,0.0,0.0
alertas_por_hora_24h,0.0,0.0
alertas_por_hora_4h,0.0,0.0
is_fim_de_semana,0.0,0.0
Tipo_Escavadeira,0.0,0.0
Frota_793-D 5S,-8.720477783774605e-07,0.0003524974714299488
n_ciclos_4h,-2.5785462004860684e-06,3.4808983688960063e-06
dia_da_semana,-2.7196970278827357e-06,4.902326888455013e-06
ratio_duracao_ciclo_4h_24h,-1.4708570504969506e-05,2.6160984876245486e-05
delta_n_ciclos_4h_24h_norm,-2.2738734024529972e-05,2.739695760311554e-05
Frota_793-D 4S,-7.241091738570866e-05,4.611200536306269e-05
n_alertas_8h,-8.321225305366979e-05,0.00020190296774253043
Frota_793-D 3S,-0.00011217257713016145,0.00017551191299995967
freq_classe_atividade_4h,-0.0002033950986196631,0.0002837686475823233
Tipo_Caminhao,-0.000359049452516876,0.000386268245863226
n_ciclos_24h,-0.00036957270415632903,0.000234085866939874
