split,budget_pct,selected_rows,alerts_per_day,precision_at_budget,recall_at_budget,lift_vs_random,positives_captured,total_positives
train,0.01,2642,21.136,0.9735049205147616,0.04672455764269883,4.6722435406924,2572,55046
train,0.02,5284,42.272,0.9625283875851628,0.09239545107728082,4.619562723165153,5086,55046
train,0.05,13210,105.68,0.9142316426949281,0.2193983214039167,4.387767126045265,12077,55046
train,0.1,26419,211.352,0.8084711760475416,0.3880209279511681,3.880179905127492,21359,55046
train,0.2,52838,422.704,0.62988758090768,0.6046215892162918,3.0230850602194197,33282,55046
train,0.3,79257,634.056,0.5143646617964344,0.7405987719361988,2.4686438845815575,40767,55046
val,0.01,564,20.142857142857142,0.8953900709219859,0.0700124774712325,6.992682390836876,505,7213
val,0.02,1127,40.25,0.7781721384205856,0.1215860252322196,6.077251452844865,877,7213
val,0.05,2817,100.60714285714286,0.6240681576144835,0.24372660474143906,4.873753415580406,1758,7213
val,0.1,5634,201.21428571428572,0.5063897763578274,0.39553583807015114,3.9547265343148172,2853,7213
val,0.2,11267,402.39285714285717,0.3606993875920831,0.5634271454318591,2.816935699771195,4064,7213
val,0.3,16900,603.5714285714286,0.29781065088757397,0.6977679190350755,2.3257967246843103,5033,7213
test,0.01,567,19.551724137931036,0.9788359788359788,0.06537102473498234,6.535834252559812,555,8490
test,0.02,1134,39.10344827586207,0.9444444444444444,0.12614840989399292,6.306196832875278,1071,8490
test,0.05,2835,97.75862068965517,0.7978835978835979,0.2664310954063604,5.327588136681187,2262,8490
test,0.1,5669,195.48275862068965,0.6143940730287528,0.41024734982332156,4.102401131440161,3483,8490
test,0.2,11338,390.9655172413793,0.4475216087493385,0.5976442873969375,2.9881687253699942,5074,8490
test,0.3,17007,586.448275862069,0.3591462339036867,0.719434628975265,2.3980731276520726,6108,8490
