Tag,tag_days,avg_score,max_score,positive_days,selected_days,selected_true_positive_days,selected_false_positive_days,missed_positive_days,selected_precision,tag_positive_rate
CA65921,30,0.11707789789008594,0.17367730792064878,25,0,0,0,25,0.0,0.8333333333333334
CA5926,30,0.1745393060486984,0.22223398380506187,18,3,0,3,18,0.0,0.6
CA65789,30,0.09181982130314295,0.12402489430642592,14,0,0,0,14,0.0,0.4666666666666667
CA65790,30,0.08906306138653325,0.10932001398666966,13,0,0,0,13,0.0,0.43333333333333335
CA65915,30,0.13090196195480747,0.18791947227757372,10,0,0,0,10,0.0,0.3333333333333333
CA65793,30,0.1160985566829087,0.16154228562633555,9,0,0,0,9,0.0,0.3
CA65916,30,0.027053995630813236,0.038773133511353156,9,0,0,0,9,0.0,0.3
CA65937,30,0.24042620966652742,0.32714339299254014,15,12,8,4,7,0.6666666666666666,0.5
CA65909,30,0.3177152994394724,0.49186208818287314,18,19,16,3,2,0.8421052631578947,0.6
CA65932,30,0.3321642225140211,0.39893346514177014,18,23,17,6,1,0.7391304347826086,0.6
CA65935,30,0.41140193993398844,0.6374123522832351,23,26,22,4,1,0.8461538461538461,0.7666666666666667
CA65926,30,0.49096966543807,0.6086509529674186,29,29,28,1,1,0.9655172413793104,0.9666666666666667
PE3795,30,0.0018685059357106887,0.003575574276896293,1,0,0,0,1,0.0,0.03333333333333333
PE3797,30,0.010350884785669149,0.016175065721067864,1,0,0,0,1,0.0,0.03333333333333333
CA65931,30,0.6452745257525777,0.799189337587782,12,29,12,17,0,0.41379310344827586,0.4
CA65934,30,0.5936342865126071,0.7298832425924197,14,30,14,16,0,0.4666666666666667,0.4666666666666667
CA65925,30,0.4309393362588146,0.5977493288833055,12,28,12,16,0,0.42857142857142855,0.4
CA65929,30,0.524678493877219,0.6915806865527757,9,25,9,16,0,0.36,0.3
CA65928,30,0.5259714815055108,0.6140722469383627,16,28,16,12,0,0.5714285714285714,0.5333333333333333
CA65930,30,0.6173036551289789,0.7278531332496223,16,28,16,12,0,0.5714285714285714,0.5333333333333333
CA65792,30,0.5889320923346959,0.7420420973186609,22,30,22,8,0,0.7333333333333333,0.7333333333333333
CA65933,30,0.6760911648740463,0.7640969748745272,21,29,21,8,0,0.7241379310344828,0.7
CA65924,30,0.37725715817612887,0.5167189605688456,17,25,17,8,0,0.68,0.5666666666666667
CA5927,30,0.4605903986084904,0.553666227514009,23,29,23,6,0,0.7931034482758621,0.7666666666666667
CA65927,30,0.6123737432226449,0.8138146812412748,23,28,23,5,0,0.8214285714285714,0.7666666666666667
CA65936,30,0.5110551710267811,0.6600828254781408,25,29,25,4,0,0.8620689655172413,0.8333333333333334
CA65791,7,0.00041453530321454944,0.0010820336765271818,0,0,0,0,0,0.0,0.0
CA65901,30,0.0003411873118065207,0.00034526249117198973,0,0,0,0,0,0.0,0.0
CA65902,30,0.019344730896591437,0.01971732226474109,0,0,0,0,0,0.0,0.0
CA65908,30,0.035140097805742086,0.03580606513690361,0,0,0,0,0,0.0,0.0
CA65917,30,0.0011241552748805757,0.0011588445442646765,0,0,0,0,0,0.0,0.0
CA65918,30,0.00035428270186612087,0.00035514696400360814,0,0,0,0,0,0.0,0.0
CA65919,30,0.00035428270186612087,0.00035514696400360814,0,0,0,0,0,0.0,0.0
CA65920,30,0.00035428270186612087,0.00035514696400360814,0,0,0,0,0,0.0,0.0
CA65922,30,0.05616674886150477,0.06854086834694406,0,0,0,0,0,0.0,0.0
CA65923,30,0.017256453468020964,0.017894208457665487,0,0,0,0,0,0.0,0.0
PE3783,30,0.00019016255365420835,0.00019243421899767346,0,0,0,0,0,0.0,0.0
PE3784,30,0.00019016255365420835,0.00019243421899767346,0,0,0,0,0,0.0,0.0
PE3785,30,0.00019016255365420835,0.00019243421899767346,0,0,0,0,0,0.0,0.0
PE3788,30,0.00019016255365420835,0.00019243421899767346,0,0,0,0,0,0.0,0.0
PE3796,30,0.007543680794914765,0.01266919194910405,0,0,0,0,0,0.0,0.0
PE3798,30,0.013922183087583705,0.031148160123108316,0,0,0,0,0,0.0,0.0
PE3799,30,0.007723326696124019,0.024331015656299106,0,0,0,0,0,0.0,0.0
