segment_col,segment_value,rows,prevalence,predicted_positive,predicted_positive_rate,true_positive,false_positive,false_negative,precision,recall,lift_vs_random,status,recommendation
Classe,Manutenção,4838,0.10830921868540719,1847,0.38176932616783793,375,1472,149,0.2030319436924743,0.7156488549618321,1.8745582892828065,ok,manter threshold global e monitorar
Classe,Parado,15387,0.1834015727562228,8227,0.5346721258204978,2296,5931,526,0.27908107451075725,0.813607370659107,1.5216940090350892,ok,manter threshold global e monitorar
Classe,Operando,27396,0.18776463717330996,14851,0.5420864359760549,4126,10725,1018,0.27782640899602723,0.802099533437014,1.4796524690620456,ok,manter threshold global e monitorar
Classe,Hibernando,9066,0.0,0,0.0,0,0,0,0.0,0.0,0.0,inconclusivo_baixa_prevalencia,avaliar regra heuristica ou janela de avaliacao maior
Frota,793-D 3S,3496,0.1696224256292906,920,0.2631578947368421,454,466,139,0.4934782608695652,0.7655986509274874,2.909274873524452,ok,manter threshold global e monitorar
Frota,793-D 4S,14082,0.19152109075415424,4268,0.30308194858684845,1891,2377,806,0.4430646672914714,0.7011494252873564,2.313398830106971,ok,manter threshold global e monitorar
Frota,793-D 2S,7388,0.08500270709258256,1668,0.2257715213860314,299,1369,329,0.17925659472422062,0.47611464968152867,2.108833951946723,ok,manter threshold global e monitorar
Frota,793-D 5S,21363,0.2135935964049993,18069,0.8458081730094088,4153,13916,410,0.22984116442525873,0.9101468332237563,1.0760676738147714,ok,manter threshold global e monitorar
Frota,LeTourneau L 1850,10358,0.0008688936088047886,0,0.0,0,0,9,0.0,0.0,0.0,inconclusivo_baixa_prevalencia,avaliar regra heuristica ou janela de avaliacao maior
Tipo,Caminhao,46329,0.18306028621381856,24925,0.537999956830495,6797,18128,1684,0.2726980942828485,0.8014385096097159,1.4896627767987372,ok,manter threshold global e monitorar
Tipo,Escavadeira,10358,0.0008688936088047886,0,0.0,0,0,9,0.0,0.0,0.0,inconclusivo_baixa_prevalencia,avaliar regra heuristica ou janela de avaliacao maior
turno,tarde,19537,0.14352254696217434,8681,0.444336387367559,2290,6391,514,0.26379449372192143,0.8166904422253923,1.8380003651373675,ok,manter threshold global e monitorar
turno,noite,18292,0.15613382899628253,7945,0.43434288213426636,2259,5686,597,0.2843297671491504,0.7909663865546218,1.8210644610267015,ok,manter threshold global e monitorar
turno,manha,18858,0.15006893626047302,8299,0.4400784812811539,2248,6051,582,0.27087600915772986,0.7943462897526502,1.8050105232143001,ok,manter threshold global e monitorar
