Tag,tag_days,avg_score,max_score,positive_days,selected_days,selected_true_positive_days,selected_false_positive_days,missed_positive_days,selected_precision,tag_positive_rate
CA65789,30,0.37921350130840087,0.6592891149248838,14,5,5,0,9,1.0,0.4666666666666667
CA65790,30,0.35889506977284075,0.659046016856987,13,5,5,0,8,1.0,0.43333333333333335
CA65916,30,0.26465923720091983,0.5729021491819011,9,3,3,0,6,1.0,0.3
CA65915,30,0.4019789613480385,0.959660078540574,10,8,5,3,5,0.625,0.3333333333333333
CA65937,30,0.5491509084545876,0.8591246529994611,15,16,12,4,3,0.75,0.5
CA65793,30,0.29769827574442015,0.6479232535017412,9,6,6,0,3,1.0,0.3
CA65792,30,0.731718343710786,0.9482832339957915,22,26,20,6,2,0.7692307692307693,0.7333333333333333
CA65928,30,0.5947045006991553,0.9616688090181326,16,19,14,5,2,0.7368421052631579,0.5333333333333333
CA65921,30,0.7066350318021886,0.9616688090181326,25,25,23,2,2,0.92,0.8333333333333334
CA65931,30,0.5970733699925888,0.8852752135966658,12,20,11,9,1,0.55,0.4
CA65934,30,0.5835830713239477,0.8836260340705744,14,21,13,8,1,0.6190476190476191,0.4666666666666667
CA65933,30,0.7246946779168589,0.9616688090181326,21,25,20,5,1,0.8,0.7
CA65924,30,0.5934245286147751,0.9614070739791695,17,19,16,3,1,0.8421052631578947,0.5666666666666667
CA65926,30,0.8807437426588292,0.9616688090181326,29,29,28,1,1,0.9655172413793104,0.9666666666666667
CA5926,30,0.6466025959444129,0.9616688090181326,18,18,17,1,1,0.9444444444444444,0.6
CA65929,30,0.4808553165743688,0.7997560101797067,9,17,9,8,0,0.5294117647058824,0.3
CA5927,30,0.7489718215654274,0.9606310091499903,23,30,23,7,0,0.7666666666666667,0.7666666666666667
CA65930,30,0.6441749249964782,0.8862459135561382,16,23,16,7,0,0.6956521739130435,0.5333333333333333
CA65925,30,0.5572329626960622,0.9169610019520935,12,16,12,4,0,0.75,0.4
CA65927,30,0.7813023666585679,0.9616688090181326,23,26,23,3,0,0.8846153846153846,0.7666666666666667
CA65909,30,0.6453718915762084,0.9616688090181326,18,21,18,3,0,0.8571428571428571,0.6
CA65935,30,0.7172467780316458,0.9616688090181326,23,25,23,2,0,0.92,0.7666666666666667
CA65936,30,0.7358427908214912,0.9195091751579992,25,26,25,1,0,0.9615384615384616,0.8333333333333334
CA65932,30,0.6531325695137233,0.9616688090181326,18,19,18,1,0,0.9473684210526315,0.6
PE3795,30,0.04334051852448592,0.4827987697480053,1,1,1,0,0,1.0,0.03333333333333333
PE3797,30,0.050396344256782646,0.5538498403478413,1,1,1,0,0,1.0,0.03333333333333333
CA65791,7,0.019361623707425474,0.01950333979998239,0,0,0,0,0,0.0,0.0
CA65901,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
CA65902,30,0.04223567120405212,0.04223567120405212,0,0,0,0,0,0.0,0.0
CA65908,30,0.04223567120405212,0.04223567120405212,0,0,0,0,0,0.0,0.0
CA65917,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
CA65918,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
CA65919,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
CA65920,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
CA65922,30,0.13969608870948658,0.23543530784641128,0,0,0,0,0,0.0,0.0
CA65923,30,0.04223567120405212,0.04223567120405212,0,0,0,0,0,0.0,0.0
PE3783,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
PE3784,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
PE3785,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
PE3788,30,0.019338004358665988,0.019338004358665988,0,0,0,0,0,0.0,0.0
PE3796,30,0.025503479719048594,0.03189052240287014,0,0,0,0,0,0.0,0.0
PE3798,30,0.02542536131699629,0.03189052240287014,0,0,0,0,0,0.0,0.0
PE3799,30,0.025264594334487,0.028761110376528842,0,0,0,0,0,0.0,0.0
