segment_col,segment_value,rows,prevalence,predicted_positive,predicted_positive_rate,true_positive,false_positive,false_negative,precision,recall,lift_vs_random,status,recommendation
Classe,Manutenção,4838,0.10830921868540719,1223,0.25279040926002483,357,866,167,0.2919051512673753,0.6812977099236641,2.6951090111289346,ok,manter threshold global e monitorar
Classe,Parado,15387,0.1834015727562228,7765,0.5046467797491389,2369,5396,453,0.3050869285254346,0.8394755492558469,1.6634913427430413,ok,manter threshold global e monitorar
Classe,Operando,27397,0.18775778369894514,14582,0.5322480563565354,4364,10218,780,0.29927307639555617,0.8483670295489891,1.5939316629100024,ok,manter threshold global e monitorar
Classe,Hibernando,9067,0.0,0,0.0,0,0,0,0.0,0.0,0.0,inconclusivo_baixa_prevalencia,avaliar regra heuristica ou janela de avaliacao maior
Frota,793-D 3S,3496,0.1696224256292906,1146,0.32780320366132726,580,566,13,0.506108202443281,0.9780775716694773,2.983734023173205,ok,manter threshold global e monitorar
Frota,793-D 4S,14082,0.19152109075415424,4981,0.35371396108507314,2235,2746,462,0.4487050793013451,0.8286985539488321,2.3428494351952325,ok,manter threshold global e monitorar
Frota,793-D 2S,7388,0.08500270709258256,1804,0.2441797509474824,295,1509,333,0.16352549889135254,0.4697452229299363,1.9237681302696061,ok,manter threshold global e monitorar
Frota,793-D 5S,21364,0.2135835985770455,15637,0.7319322224302565,3980,11657,583,0.25452452516467355,0.8722331799254877,1.1916857233438716,ok,manter threshold global e monitorar
Frota,LeTourneau L 1850,10359,0.0008688097306689834,2,0.0001930688290375519,0,2,9,0.0,0.0,0.0,inconclusivo_baixa_prevalencia,avaliar regra heuristica ou janela de avaliacao maior
Tipo,Caminhao,46330,0.18305633498812865,23568,0.5086984675156486,7090,16478,1391,0.3008316361167685,0.8359863223676454,1.6433828205742111,ok,manter threshold global e monitorar
Tipo,Escavadeira,10359,0.0008688097306689834,2,0.0001930688290375519,0,2,9,0.0,0.0,0.0,inconclusivo_baixa_prevalencia,avaliar regra heuristica ou janela de avaliacao maior
turno,tarde,19539,0.1435078560827064,7947,0.40672501151543067,2359,5588,445,0.2968415754372719,0.8412981455064193,2.068469166358365,ok,manter threshold global e monitorar
turno,manha,18858,0.15006893626047302,8064,0.42761692650334077,2426,5638,404,0.30084325396825395,0.8572438162544169,2.0047003828032977,ok,manter threshold global e monitorar
turno,noite,18292,0.15613382899628253,7559,0.4132407609884102,2305,5254,551,0.3049345151475063,0.8070728291316527,1.9530329660637904,ok,manter threshold global e monitorar
