segment_col,segment_value,top_k_tags_per_day,tag_days,days,selected_alerts,alerts_per_day,tag_day_prevalence,precision_at_k,recall_at_k,lift_vs_random,positives_captured,total_positives,status,recommendation
Classe,Manutenção,3,564,30,90,3.0,0.2783687943262411,0.6777777777777778,0.3885350318471338,2.4348195329087052,61,157,ok,usar TopK como canal principal
Classe,Parado,3,784,30,90,3.0,0.4770408163265306,0.9555555555555556,0.22994652406417113,2.0030897207367797,86,374,ok,usar TopK como canal principal
Classe,Operando,3,793,30,90,3.0,0.49936948297604034,1.0,0.22727272727272727,2.0025252525252526,90,396,ok,usar TopK como canal principal
Classe,Hibernando,3,400,30,90,3.0,0.0,0.0,0.0,0.0,0,0,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Classe,Manutenção,5,564,30,150,5.0,0.2783687943262411,0.6266666666666667,0.5987261146496815,2.251210191082803,94,157,ok,usar TopK como canal principal
Classe,Parado,5,784,30,150,5.0,0.4770408163265306,0.9533333333333334,0.38235294117647056,1.9984313725490197,143,374,ok,usar TopK como canal principal
Classe,Operando,5,793,30,150,5.0,0.49936948297604034,0.98,0.3712121212121212,1.9624747474747475,147,396,ok,usar TopK como canal principal
Classe,Hibernando,5,400,30,150,5.0,0.0,0.0,0.0,0.0,0,0,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Classe,Operando,10,793,30,300,10.0,0.49936948297604034,0.9533333333333334,0.7222222222222222,1.9090740740740741,286,396,ok,usar TopK como canal principal
Classe,Parado,10,784,30,300,10.0,0.4770408163265306,0.9033333333333333,0.7245989304812834,1.8936185383244206,271,374,ok,usar TopK como canal principal
Classe,Manutenção,10,564,30,300,10.0,0.2783687943262411,0.4533333333333333,0.8662420382165605,1.6285350318471337,136,157,ok,usar TopK como canal principal
Classe,Hibernando,10,400,30,300,10.0,0.0,0.0,0.0,0.0,0,0,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Classe,Operando,15,793,30,450,15.0,0.49936948297604034,0.7911111111111111,0.898989898989899,1.584219977553311,356,396,ok,usar TopK como canal principal
Classe,Parado,15,784,30,450,15.0,0.4770408163265306,0.7466666666666667,0.8983957219251337,1.565204991087344,336,374,ok,usar TopK como canal principal
Classe,Manutenção,15,564,30,445,14.833333333333334,0.2783687943262411,0.350561797752809,0.9936305732484076,1.2593430186788808,156,157,ok,usar TopK como canal principal
Classe,Hibernando,15,400,30,400,13.333333333333334,0.0,0.0,0.0,0.0,0,0,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Frota,793-D 4S,3,360,30,90,3.0,0.2833333333333333,0.8555555555555555,0.7549019607843137,3.019607843137255,77,102,ok,usar TopK como canal principal
Frota,LeTourneau L 1850,3,271,30,90,3.0,0.007380073800738007,0.022222222222222223,1.0,3.0111111111111115,2,2,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Frota,793-D 5S,3,390,30,90,3.0,0.5974358974358974,0.9888888888888889,0.38197424892703863,1.655221745350501,89,233,ok,usar TopK como canal principal
Frota,793-D 3S,3,122,30,90,3.0,0.14754098360655737,0.2,1.0,1.3555555555555556,18,18,ok,usar TopK como canal principal
Frota,793-D 2S,3,127,30,90,3.0,0.4566929133858268,0.5888888888888889,0.9137931034482759,1.2894636015325671,53,58,ok,usar TopK como canal principal
Frota,793-D 4S,5,360,30,150,5.0,0.2833333333333333,0.6533333333333333,0.9607843137254902,2.3058823529411763,98,102,ok,usar TopK como canal principal
Frota,LeTourneau L 1850,5,271,30,150,5.0,0.007380073800738007,0.013333333333333334,1.0,1.8066666666666669,2,2,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Frota,793-D 5S,5,390,30,150,5.0,0.5974358974358974,0.98,0.630901287553648,1.640343347639485,147,233,ok,usar TopK como canal principal
Frota,793-D 3S,5,122,30,121,4.033333333333333,0.14754098360655737,0.1487603305785124,1.0,1.0082644628099173,18,18,ok,usar TopK como canal principal
Frota,793-D 2S,5,127,30,127,4.233333333333333,0.4566929133858268,0.4566929133858268,1.0,1.0,58,58,ok,usar TopK como canal principal
Frota,793-D 5S,10,390,30,300,10.0,0.5974358974358974,0.7533333333333333,0.9699570815450643,1.2609442060085836,226,233,ok,usar TopK como canal principal
Frota,793-D 4S,10,360,30,300,10.0,0.2833333333333333,0.34,1.0,1.2000000000000002,102,102,ok,usar TopK como canal principal
Frota,793-D 2S,10,127,30,127,4.233333333333333,0.4566929133858268,0.4566929133858268,1.0,1.0,58,58,ok,usar TopK como canal principal
Frota,793-D 3S,10,122,30,122,4.066666666666666,0.14754098360655737,0.14754098360655737,1.0,1.0,18,18,ok,usar TopK como canal principal
Frota,LeTourneau L 1850,10,271,30,271,9.033333333333333,0.007380073800738007,0.007380073800738007,1.0,1.0,2,2,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Frota,793-D 2S,15,127,30,127,4.233333333333333,0.4566929133858268,0.4566929133858268,1.0,1.0,58,58,ok,usar TopK como canal principal
Frota,793-D 3S,15,122,30,122,4.066666666666666,0.14754098360655737,0.14754098360655737,1.0,1.0,18,18,ok,usar TopK como canal principal
Frota,793-D 4S,15,360,30,360,12.0,0.2833333333333333,0.2833333333333333,1.0,1.0,102,102,ok,usar TopK como canal principal
