aviso,custo_hora_parada_usd,eficacia_prevencao,eventos_evitados,beneficio_bruto_usd,custo_inspecoes_usd,beneficio_liquido_usd,razao_retorno
SIMULACAO,5000.0,0.1,22.0,658838.87,180000.0,478838.87,3.66
SIMULACAO,5000.0,0.225,49.4,1482387.46,180000.0,1302387.46,8.24
SIMULACAO,5000.0,0.35,76.9,2305936.05,180000.0,2125936.05,12.81
SIMULACAO,5000.0,0.475,104.3,3129484.63,180000.0,2949484.63,17.39
SIMULACAO,5000.0,0.6,131.8,3953033.22,180000.0,3773033.22,21.96
SIMULACAO,8750.0,0.1,22.0,1152968.02,180000.0,972968.02,6.41
SIMULACAO,8750.0,0.225,49.4,2594178.05,180000.0,2414178.05,14.41
SIMULACAO,8750.0,0.35,76.9,4035388.08,180000.0,3855388.08,22.42
SIMULACAO,8750.0,0.475,104.3,5476598.11,180000.0,5296598.11,30.43
SIMULACAO,8750.0,0.6,131.8,6917808.14,180000.0,6737808.14,38.43
SIMULACAO,12500.0,0.1,22.0,1647097.18,180000.0,1467097.18,9.15
SIMULACAO,12500.0,0.225,49.4,3705968.65,180000.0,3525968.65,20.59
SIMULACAO,12500.0,0.35,76.9,5764840.12,180000.0,5584840.12,32.03
SIMULACAO,12500.0,0.475,104.3,7823711.59,180000.0,7643711.59,43.47
SIMULACAO,12500.0,0.6,131.8,9882583.06,180000.0,9702583.06,54.9
SIMULACAO,16250.0,0.1,22.0,2141226.33,180000.0,1961226.33,11.9
SIMULACAO,16250.0,0.225,49.4,4817759.24,180000.0,4637759.24,26.77
SIMULACAO,16250.0,0.35,76.9,7494292.15,180000.0,7314292.15,41.63
SIMULACAO,16250.0,0.475,104.3,10170825.06,180000.0,9990825.06,56.5
SIMULACAO,16250.0,0.6,131.8,12847357.97,180000.0,12667357.97,71.37
SIMULACAO,20000.0,0.1,22.0,2635355.48,180000.0,2455355.48,14.64
SIMULACAO,20000.0,0.225,49.4,5929549.83,180000.0,5749549.83,32.94
SIMULACAO,20000.0,0.35,76.9,9223744.19,180000.0,9043744.19,51.24
SIMULACAO,20000.0,0.475,104.3,12517938.54,180000.0,12337938.54,69.54
SIMULACAO,20000.0,0.6,131.8,15812132.89,180000.0,15632132.89,87.85
